Item Type;Publication Year;Publication Title;Author;Title;Date;Url;ISBN;ISSN;DOI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;Hashed Out by The SSL Store™;Crane, Casey;Let’s Encrypt to Revoke 3 Million SSL Certificates on March 4;03/03/2020;https://www.thesslstore.com/blog/lets-encrypt-to-revoke-3-million-ssl-certificates-on-march-4/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;Hashed Out by The SSL Store™;Crane, Casey;Google Chrome to Join Apple’s Safari in One Year Certificate Validity;15/06/2020;https://www.thesslstore.com/blog/google-chrome-to-join-apple-safari-in-one-year-certificate-validity/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;Hashed Out by The SSL Store™;Crane, Casey;CRL Explained: What Is a Certificate Revocation List?;22/07/2020;https://www.thesslstore.com/blog/crl-explained-what-is-a-certificate-revocation-list/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;InfoSec Insights;Crane, Casey;What Is an X.509 Certificate? What to Know About PKI Certificates;22/09/2020;https://sectigostore.com/blog/what-is-an-x-509-certificate-what-to-know-about-pki-certificates/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;InfoSec Insights;Crane, Casey;What Is a Certificate Authority? Certification Authorities Explained;14/12/2020;https://sectigostore.com/blog/what-is-a-certificate-authority-certification-authorities-explained/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;InfoSec Insights;Lewis, Danny;What Is PKI? A Layman’s Guide to Public Key Infrastructure;07/04/2020;https://sectigostore.com/blog/what-is-pki-a-laymans-guide-to-public-key-infrastructure/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;Intel® Tiber™ AI Studio;Ettun, Yochay;The Ultimate Guide to Building a Scalable Machine Learning Infrastructure;08/11/2020;https://cnvrg.io/building-scalable-machine-learning-infrastructure/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;MachineLearningMastery.com;Brownlee, Jason;Difference Between Algorithm and Model in Machine Learning;28/04/2020;https://www.machinelearningmastery.com/difference-between-algorithm-and-model-in-machine-learning/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;Marker;Feng, Eric;How Apple, Amazon, Alphabet, and Microsoft Became $1 Trillion Companies;04/03/2020;https://marker.medium.com/how-microsoft-apple-amazon-and-alphabet-have-created-trillion-dollar-companies-by-lowering-one-34a29c6169a1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;Medium;Blank, Steve;Technology, Innovation and Modern War — Class 7 — Jack Shanahan;21/10/2020;https://medium.com/@sgblank/technology-innovation-and-modern-war-class-7-jack-shanahan-d7b82a459751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;Medium;Chuvpilo, Gleb;AI Research Rankings 2020: Can the United States Stay Ahead of China?;20/12/2020;https://chuvpilo.medium.com/ai-research-rankings-2020-can-the-united-states-stay-ahead-of-china-61cf14b1216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;Medium;Dsouza, Jason;What is a GPU and do you need one in Deep Learning?;26/12/2020;https://towardsdatascience.com/what-is-a-gpu-and-do-you-need-one-in-deep-learning-718b9597aa0d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;Medium;Google Walkout For Real Change;Standing with Dr. Timnit Gebru — #ISupportTimnit #BelieveBlackWomen;15/12/2020;https://googlewalkout.medium.com/standing-with-dr-timnit-gebru-isupporttimnit-believeblackwomen-6dadc300d382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;VICE;Gault, Matthew;Google Says it Will Continue to Work With Law Enforcement;29/07/2020;https://www.vice.com/en/article/google-says-it-will-continue-to-work-with-law-enforcement/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2021;Analytics Vidhya;Jitendra;Introduction to Supervised Deep Learning Algorithms!;20/05/2021;https://www.analyticsvidhya.com/blog/2021/05/introduction-to-supervised-deep-learning-algorithms/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2021;Google The Keyword;Moghadam, Sepi Hejazi;Marian Croak’s vision for responsible AI at Google;18/02/2021;https://blog.google/technology/ai/marian-croak-responsible-ai/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2021;IE Insights;Dans, Enrique;Love Lost between Big Tech and Government;05/10/2021;https://www.ie.edu/insights/articles/love-lost-between-big-tech-and-government/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2021;Internet Society;"Erwin, Marshall; Gahnberg, Carl; Tiwari, Udbhav; Wilton, Robin";Internet Impact Brief: Mandated Browser Root Certificates in the European Union’s eIDAS Regulation on the Internet;08/11/2021;https://www.internetsociety.org/resources/doc/2021/internet-impact-brief-mandated-browser-root-certificates-in-the-eu-eidas-regulation/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2021;New Statesman;"Clarke, Laurie; Swindells, Katharine";Why the EU’s new tech legislation could become the most lobbied in history;19/02/2021;https://www.newstatesman.com/science-tech/2021/02/why-eus-new-tech-legislation-could-become-most-lobbied-history;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2021;SSL.com;SSL Support Team;How Do Browsers Handle Revoked SSL/TLS Certificates?;24/02/2021;https://www.ssl.com/blogs/how-do-browsers-handle-revoked-ssl-tls-certificates/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2021;Tech Monitor;Clarke, Laurie;Here are the most contentious issues in the AI Act debate;24/09/2021;https://www.techmonitor.ai/policy/meps-are-preparing-to-debate-europes-ai-act-these-are-the-most-contentious-issues/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2021;The Hill;Daniel E. Ho, Jennifer King and Russell C. Wald;Do we really want Facebook and Amazon to rule AI?;08/11/2021;https://thehill.com/opinion/technology/580594-do-we-really-want-facebook-and-amazon-to-rule-ai/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2021;VentureBeat;Wiggers, Kyle;Study finds that few major AI research papers consider negative impacts;01/07/2021;https://venturebeat.com/ai/study-finds-that-few-major-ai-research-papers-consider-negative-impacts/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2022;Medium;Koren, Ariel;Google’s Complicity in Israeli Apartheid: How Google Weaponizes “Diversity” to Silence Palestinians…;31/08/2022;https://medium.com/@arielkoren/googles-complicity-in-israeli-apartheid-how-google-weaponizes-diversity-to-silence-palestinians-cb41b24ac423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2022;Tech Monitor;Fitri, Afiq;Don’t be evil? Why Google can’t quit the military industrial complex;07/09/2022;https://www.techmonitor.ai/analysis/why-google-cant-quit-military-industrial-complex/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2023;EncryptedFence by Certera - Web & Cyber Security Blog;Mehta, Janki;Detailed Guide on Rolling of 90-Day SSL/TLS Validity;11/07/2023;https://certera.com/blog/detailed-guide-on-rolling-of-90-day-ssl-tls-validity/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2023;Google Online Security Blog;;How the Chrome Root Program Keeps Users Safe;01/05/2023;https://security.googleblog.com/2023/05/how-chrome-root-program-keeps-users-safe.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2023;Google The Keyword;Pichai, Sundar;An important next step on our AI journey;06/02/2023;https://blog.google/technology/ai/bard-google-ai-search-updates/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2023;Google The Keyword;"Pichai, Sundar; Hassabis, Demis";Introducing Gemini: our largest and most capable AI model;06/12/2023;https://blog.google/technology/ai/google-gemini-ai/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2023;Sectigo® Official;Callan, Tim;Importance of Automated Certificate Management;13/03/2023;https://www.sectigo.com/resource-library/google-announces-intentions-to-limit-tls-certificates-to-90-days-why-automated-clm-is-crucial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2023;Techerati;Cappella, Nicole;Data centre protests are on the rise, but are they effective?;20/04/2023;https://www.techerati.com/news-hub/data-centre-protests/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2024;InfoWorld;Yegulalp, Serdar;What is TensorFlow? The machine learning library explained;05/01/2024;https://www.infoworld.com/article/2255099/what-is-tensorflow-the-machine-learning-library-explained.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2024;The Atlantic;Wong, Matteo;The AI Boom Has an Expiration Date;17/10/2024;https://www.theatlantic.com/technology/archive/2024/10/agi-predictions/680280/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;;Mozilla | QWACs - #SecurityRiskAhead EU;;QWACS put personal data at risk and are a risk to cybersecurity;;https://securityriskahead.eu/the-geopolitical-impact/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;;;Company, Venafi, a CyberArk;Certificate Validation in Web Browsers;;https://venafi.com/blog/how-does-browser-trust-certificate/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bookSection;2018;You'll see this message when it is too late: The Legal and Economic Aftermath of Cybersecurity Breaches;"Wolff, Josephine; Braman, Sandra";5 Certificates Gone Rogue: The DigiNotar Compromise and the Internet's Fragile Trust Infrastructure;?/?/2018;https://ieeexplore.ieee.org/abstract/document/8544185;978-0-262-34953-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
conferencePaper;2019;Proceedings of the 2019 ACM SIGSAC Conference on Computer and Communications Security;"Aas, Josh; Barnes, Richard; Case, Benton; Durumeric, Zakir; Eckersley, Peter; Flores-López, Alan; Halderman, J. Alex; Hoffman-Andrews, Jacob; Kasten, James; Rescorla, Eric; Schoen, Seth; Warren, Brad";Let's Encrypt: An Automated Certificate Authority to Encrypt the Entire Web;06/11/2019;https://dl.acm.org/doi/10.1145/3319535.3363192;978-1-4503-6747-9;;10.1145/3319535.3363192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;1998;;"Brin, Sergey; Page, Larry";The PageRank Citation Ranking: Bringing Order to the Web;29/01/1998;https://www.cis.upenn.edu/~mkearns/teaching/NetworkedLife/pagerank.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2017;;Google;Digital Security & Due Process: Modernizing Cross-Border Government Access Standards for the Cloud Era;?/?/2017;https://storage.googleapis.com/gweb-uniblog-publish-prod/documents/CrossBorderLawEnforcementRequestsWhitePaper_2.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2017;;Google;Cross Border Law Enforcement Requests White Paper;?/?/2017 ;https://storage.googleapis.com/gweb-uniblog-publish-prod/documents/CrossBorderLawEnforcementRequestsWhitePaper_2.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2017;;Google;Security and disinformation in the U.S. 2016 election: Steps against phishing and hacking;30/10/2017;https://storage.googleapis.com/gweb-uniblog-publish-prod/documents/google_US2016election_steps_against_phishing_hacking_1.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2017;;US Deputy Secretary of Defense;Establishment of an Algorithmic Warfare Cross-Functional Team (Project Maven);26/04/2017;https://dodcio.defense.gov/Portals/0/Documents/Project%20Maven%20DSD%20Memo%2020170425.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2018;;"Cotton, Tom; Conaway, K. Michael; Rubio, Marco; Cheney, Liz; Ruppersberger, Dutch";Congressional Letter to Mr Sundar Pichai;20/06/2018;https://www.documentcloud.org/documents/4529987-180620-Congressional-Letter-to-Mr-Sundar-Pichai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2018;;Department of the Defense;2018 DoD Artificial Intelligence Strategy;?/?/2018;https://media.defense.gov/2019/Feb/12/2002088964/-1/-1/1/DOD-AI-STRATEGY-FACT-SHEET.PDF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2018;;Google Cloud;Inject AI into the mission;08/06/2018;https://admin.govexec.com/media/scan-to-me_from_10.3.5.20_2018-06-08_155522.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2018;;Google Employees;Letter to Google C.E.O.;04/04/2018;https://static01.nyt.com/files/2018/technology/googleletter.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2018;;Hershman, Lisa W.;Determination of the Chief Management Officer;18/12/2018;https://www.documentcloud.org/documents/5780094-12-18-2018-Determination;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2018;;;Alphabet Q1 2018 Earnings Call;23/04/2018;https://abc.xyz/assets/investor/static/pdf/2018_Q1_Earnings_Transcript.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2019;;PE 0305245D8Z: Intelligence Capabilities and Innovation;Exhibit R-2, RDT&E Budget Item Justification;01/02/2019;https://www.dacis.com/budget/budget_pdf/FY20/RDTE/D/0305245D8Z_187.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2021;;European Commission;Proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL;06/03/2021;https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52021PC0281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2021;;Logius;CERTIFICATION PRACTICE STATEMENT (CPS) Policy Authority PKIoverheid for G3 C A certificates to be issued by the Policy Authority of the PKI for the Dutch government;01/04/2021;https://cps.pkioverheid.nl/cps_public_g3-v4_5-en.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2022;;Logius;CERTIFICATION PRACTICE STATEMENT (CPS) Policy Authority PKIoverheid for Extended Validation CA certificates to be issued by the Policy Authority of the PKI for the Dutch government;01/04/2022;https://cps.pkioverheid.nl/cps_public_g3-v4_6-en.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
document;2024;;Mozilla;EUROPEAN PARLIAMENT VOTES ON eIDAS, AVERTING THREAT TO WEB SECURITY;29/02/2024;https://securityriskahead.eu/wp-content/uploads/2024/02/Mozilla_-press-release_eIDAS-EP-Plenary-adoption.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2016;;Sleevi, Ryan;Announcement: Requiring Certificate Transparency in 2017;25/10/2016;https://groups.google.com/a/chromium.org/g/ct-policy/c/78N3SMcqUGw/m/ykIwHXuqAQAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2017;;Ayer, Andrew;Misissued/Suspicious Symantec Certificates;19/01/2017;https://groups.google.com/g/mozilla.dev.security.policy/c/fyJ3EK2YOP8/m/LhcfEg3YCgAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2017;;Fisher, Darin;Intent to Deprecate and Remove: Trust in existing Symantec-issued Certificates;28/07/2017;https://groups.google.com/a/chromium.org/g/blink-dev/c/eUAKwjihhBs/m/El1mH8S6AwAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2017;;Markham, Gervase;Google Plan for Symantec posted;19/05/2017;https://groups.google.com/g/mozilla.dev.security.policy/c/C45hQChFLyc/m/XptyCH5oAgAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2017;;Rudenberg, Jonathan;Certificates with less than 64 bits of entropy;10/08/2017;https://groups.google.com/g/mozilla.dev.security.policy/c/YequotPYLdc/m/J0K3lUyzBwAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2017;;Sleevi, Ryan;Misissued/Suspicious Symantec Certificates;26/01/2017;https://groups.google.com/g/mozilla.dev.security.policy/c/fyJ3EK2YOP8/m/XqoUjqGxCgAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2017;;Sleevi, Ryan;Misissued/Suspicious Symantec Certificates;30/01/2017;https://groups.google.com/g/mozilla.dev.security.policy/c/fyJ3EK2YOP8/m/z79BcBnrCwAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2017;;Sleevi, Ryan;Misissued/Suspicious Symantec Certificates;14/02/2017;https://groups.google.com/g/mozilla.dev.security.policy/c/fyJ3EK2YOP8/m/gdo8kRxKEAAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2017;;Sleevi, Ryan;Intent to Deprecate and Remove: Trust in existing Symantec-issued Certificates;23/03/2017;https://groups.google.com/a/chromium.org/g/blink-dev/c/eUAKwjihhBs/m/ovLalSBRBQAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2017;;Sleevi, Ryan;Google's past discussions with Symantec;27/04/2017;https://groups.google.com/g/mozilla.dev.security.policy/c/lOHrTr97Qx0/m/2IkcSGq9AQAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2018;;Bohm, Jakob;"subject:""How harsh \(in general\) should Mozilla be towards CAs\?""";08/11/2018;https://www.mail-archive.com/search?l=dev-security-policy@lists.mozilla.org&q=subject:%22How+harsh+%5C%28in+general%5C%29+should+Mozilla+be+towards+CAs%5C%3F%22&o=newest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2018;;O'Brien, Devon;Certificate Transparency Enforcement in Google Chrome;07/02/2018;https://groups.google.com/a/chromium.org/g/ct-policy/c/wHILiYf31DE/m/iMFmpMEkAQAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2019;;, Peter;Question about the issuance of OCSP Responder Certificates by technically constrained CAs;04/09/2019;https://groups.google.com/g/mozilla.dev.security.policy/c/XQd3rNF4yOo/m/bXYjt1mZAwAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2019;;Hurst, Ryan;Google Trust Services and EJBCA serial number behavior;02/03/2019;https://groups.google.com/g/mozilla.dev.security.policy/c/-RB8ovYgOHE/m/6Tv64ivqBwAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2019;;Reynolds, Daymion;Pre-Incident Report - GoDaddy Serial Number Entropy;08/03/2019;https://groups.google.com/g/mozilla.dev.security.policy/c/S2KNbJSJ-hs/m/F8AS4MNVCAAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2019;;Sleevi, Ryan;DarkMatter Concerns;28/02/2019;https://groups.google.com/g/mozilla.dev.security.policy/c/nnLVNfqgz7g/m/CY95HQA3AQAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2019;;Thayer, Wayne;DarkMatter Concerns;22/02/2019;https://groups.google.com/g/mozilla.dev.security.policy/c/nnLVNfqgz7g/m/yjZVKgCmDgAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2019;;van den Berge, Jochem;Pre-Incident report: PKIoverheid Serial Number Entropy;13/03/2019;https://groups.google.com/g/mozilla.dev.security.policy/c/r9C_Mh9Du_g/m/nZ50IA1mBQAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2019;;van den Berge, Jochem;Pre-Incident report: PKIoverheid Serial Number Entropy;22/03/2019;https://groups.google.com/g/mozilla.dev.security.policy/c/r9C_Mh9Du_g/m/iPRGzNd8BwAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2020;;den, Berg, Patrick van;[Servercert-wg] Possible conflict between BR and RFC 6960?;29/05/2020;https://lists.cabforum.org/pipermail/servercert-wg/2020-May/001953.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2020;;Sleevi, Ryan;SECURITY RELEVANT FOR CAs: The curious case of the Dangerous Delegated Responder Cert;07/03/2020;https://groups.google.com/g/mozilla.dev.security.policy/c/EzjIkNGfVEE/m/XBNS-VXNBwAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2020;;Sleevi, Ryan;SECURITY RELEVANT FOR CAs: The curious case of the Dangerous Delegated Responder Cert;02/07/2020;https://groups.google.com/g/mozilla.dev.security.policy/c/EzjIkNGfVEE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2020;;Sleevi, Ryan;Announcing the Chrome Root Program;03/12/2020;https://groups.google.com/g/mozilla.dev.security.policy/c/3Q36J4flnQs/m/VyWFiVwrBQAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2020;;Wilson, Ben;SECURITY RELEVANT FOR CAs: The curious case of the Dangerous Delegated Responder Cert;07/03/2020;https://groups.google.com/g/mozilla.dev.security.policy/c/EzjIkNGfVEE/m/2WlxGVylBwAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2021;;Sleevi, Ryan;Introducing Ryan Dickson;29/10/2021;https://groups.google.com/a/mozilla.org/g/dev-security-policy/c/o_GM60YGrVQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
email;2022;;Dickson, Ryan;[Servercert-wg] Following up: Proposal to make OCSP optional (introduced at Face-to-Face 57);01/11/2022;https://lists.cabforum.org/pipermail/servercert-wg/2022-November/003420.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
interview;2017;;Walker, Kent;Google: Shared duty to find terrorist material;20/09/2017;https://www.bbc.com/news/av/technology-41333285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
journalArticle;2010;SSRN Electronic Journal;Atkinson, Robert D.;Who's Who in Internet Politics: A Taxonomy of Information Technology Policy;?/?/2010;http://www.ssrn.com/abstract=1722851;;1556-5068;10.2139/ssrn.1722851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
journalArticle;2013;Foundations and Trends® in Theoretical Computer Science;"Dwork, Cynthia; Roth, Aaron";The Algorithmic Foundations of Differential Privacy;?/?/2013;http://www.nowpublishers.com/articles/foundations-and-trends-in-theoretical-computer-science/TCS-042;;1551-305X, 1551-3068;10.1561/0400000042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
journalArticle;2015;European Union Agency For Network And Information Security;ENISA;Big Data Security Good Practices and Recommendations on the Security of Big Data Systems;?/?/2015;https://www.enisa.europa.eu/publications/big-data-security;;;10.2824/13094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
journalArticle;2015;The European Data Protection Supervisor;EDPS;Meeting the Challenges of Big Data and Extreme Computing;19/11/2015;https://www.edps.europa.eu/data-protection/our-work/publications/opinions/meeting-challenges-big-data_en ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
journalArticle;2019;Journal of Science and Technology of the Arts;Ciston, Sarah;Intersectional AI is essential: polyvocal, multimodal, experimental methods to save artificial intelligence;01/05/2019;https://journals.ucp.pt/index.php/jsta/article/view/7328;;2183-0088;10.7559/citarj.v11i2.665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
journalArticle;2020;Interagency Journal;Gorman, Shannon L;Artificial Intelligence Capabilities;11/01/2020;https://thesimonscenter.org/wp-content/uploads/2020/03/IAJ-11-1-2020-pg65-93.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
journalArticle;2023;AI & SOCIETY;"Cowls, Josh; Tsamados, Andreas; Taddeo, Mariarosaria; Floridi, Luciano";The AI gambit: leveraging artificial intelligence to combat climate change—opportunities, challenges, and recommendations;01/02/2023;https://doi.org/10.1007/s00146-021-01294-x;;1435-5655;10.1007/s00146-021-01294-x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
journalArticle;2024;Big Data & Society;Gillespie, Tarleton;Generative AI and the politics of visibility;01/06/2024;https://doi.org/10.1177/20539517241252131;;2053-9517;10.1177/20539517241252131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
journalArticle;2024;Global Environmental Politics;"van der Ven, Hamish; Corry, Diego; Elnur, Rawie; Provost, Viola Jasmine; Syukron, Muh";Generative AI and Social Media May Exacerbate the Climate Crisis;01/05/2024;https://doi.org/10.1162/glep_a_00747;;1526-3800;10.1162/glep_a_00747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
